B1_004,B3_008,F_020,L1_002,M_B1,M_F,M_L1,B1_003,B2_005,F_019,M_B2,L1_001,B2_006
-13.952805,-14.483273,-13.608846,-13.978548,-14.090417,-13.655302,-13.8513585,-14.228029,-13.613918,-13.701758,-13.583734,-13.724169,-13.55355
-14.243488,-14.785007,-13.898395,-14.275964,-14.6110125,-14.1698455,-14.3647915,-14.978537,-14.348715,-14.441296,-14.095319,-14.453619,-13.841923
-14.243488,-14.785007,-13.898395,-14.275964,-14.4859275,-14.046589,-14.2432165,-14.728367,-14.103782,-14.194783,-13.9728525,-14.210469,-13.841923
-14.824855,-15.388477,-14.477495,-14.870796,-15.1518655,-14.705908,-14.905358,-15.478876,-14.838579,-14.934321,-14.6286245,-14.93992,-14.41867
-14.243488,-14.785007,-13.898395,-14.275964,-14.861182,-14.416358,-14.607942,-15.478876,-14.838579,-14.934321,-14.340251,-14.93992,-13.841923
-13.662121,-14.181538,-13.319296,-13.681132,-14.320329,-13.880296,-14.0673755,-14.978537,-14.348715,-14.441296,-13.8069455,-14.453619,-13.265176
-13.952805,-14.483273,-13.608846,-13.978548,-14.7158405,-14.2715835,-14.459234,-15.478876,-14.838579,-14.934321,-14.1960645,-14.93992,-13.55355
-13.662121,-14.181538,-13.319296,-13.681132,-14.320329,-13.880296,-14.0673755,-14.978537,-14.348715,-14.441296,-13.8069455,-14.453619,-13.265176
-13.371438,-13.879803,-13.029746,-13.383717,-13.924818,-13.489008,-13.675518,-14.478198,-13.85885,-13.94827,-13.4178265,-13.967319,-12.976803
-12.499387,-12.974598,-12.161096,-12.491469,-13.613877,-13.1779395,-13.350969,-14.728367,-14.103782,-14.194783,-13.1077325,-14.210469,-12.111683
-11.91802,-12.371129,-11.581996,-11.896637,-13.198109,-12.765133,-12.931978,-14.478198,-13.85885,-13.94827,-12.696893,-13.967319,-11.534936
-11.336654,-11.767659,-11.002896,-11.301805,-12.407087,-11.982558,-12.1482615,-13.47752,-12.879121,-12.96222,-11.918655,-12.994718,-10.958189
-11.04597,-11.465924,-10.713346,-11.004389,-12.0115755,-11.5912705,-11.7564035,-12.977181,-12.389257,-12.469195,-11.5295365,-12.508418,-10.669816
-10.17392,-10.56072,-9.844697,-10.112142,-11.5755505,-11.156946,-11.31028,-12.977181,-12.389257,-12.469195,-11.0969765,-12.508418,-9.804696
-9.883236,-10.258985,-9.555147,-9.814726,-11.305124,-10.8889145,-11.039997,-12.727012,-12.144324,-12.222682,-10.830323,-12.265268,-9.516322
-9.883236,-10.258985,-9.555147,-9.814726,-11.1800395,-10.765658,-10.918422,-12.476843,-11.899392,-11.976169,-10.707857,-12.022118,-9.516322
-9.592553,-9.95725,-9.265597,-9.51731,-11.034698,-10.620883,-10.769714,-12.476843,-11.899392,-11.976169,-10.5636705,-12.022118,-9.227949
-10.17392,-10.56072,-9.844697,-10.112142,-11.3253815,-10.910433,-11.06713,-12.476843,-11.899392,-11.976169,-10.852044,-12.022118,-9.804696
-10.464603,-10.862455,-10.134247,-10.409558,-11.5958075,-11.1784645,-11.337413,-12.727012,-12.144324,-12.222682,-11.1186965,-12.265268,-10.093069
-10.17392,-10.56072,-9.844697,-10.112142,-11.3253815,-10.910433,-11.06713,-12.476843,-11.899392,-11.976169,-10.852044,-12.022118,-9.804696
-9.592553,-9.95725,-9.265597,-9.51731,-11.1597825,-10.7441395,-10.891289,-12.727012,-12.144324,-12.222682,-10.6861365,-12.265268,-9.227949
-9.301869,-9.655515,-8.976047,-9.219894,-10.5141015,-10.1063395,-10.2562805,-11.726334,-11.164595,-11.236632,-10.052085,-11.292667,-8.939575
-9.301869,-9.655515,-8.976047,-9.219894,-10.6391865,-10.2295955,-10.3778555,-11.976504,-11.409528,-11.483144,-10.1745515,-11.535817,-8.939575
-9.011186,-9.35378,-8.686497,-8.922478,-10.493845,-10.0848205,-10.2291475,-11.976504,-11.409528,-11.483144,-10.030365,-11.535817,-8.651202
-9.301869,-9.655515,-8.976047,-9.219894,-10.6391865,-10.2295955,-10.3778555,-11.976504,-11.409528,-11.483144,-10.1745515,-11.535817,-8.939575
-9.301869,-9.655515,-8.976047,-9.219894,-10.5141015,-10.1063395,-10.2562805,-11.726334,-11.164595,-11.236632,-10.052085,-11.292667,-8.939575
-9.301869,-9.655515,-8.976047,-9.219894,-10.5141015,-10.1063395,-10.2562805,-11.726334,-11.164595,-11.236632,-10.052085,-11.292667,-8.939575
